EntrezID	Inhibitors
5701	BORTEZOMIB, CARFILZOMIB, MLN9708
5707	BORTEZOMIB
5708	BORTEZOMIB
5740	PHENYLBUTAZONE
145482	INDOMETHACIN
5742	ACETAMINOPHEN, ANTIPYRINE, ANTRAFENINE, BALSALAZIDE, BROMFENAC, CARPROFEN, DICLOFENAC, DIETHYLCARBAMAZINE, DIFLUNISAL, DIHOMO-GAMMA-LINOLENIC ACID, ETODOLAC, FENOPROFEN, FLURBIPROFEN, GAMMA-HOMOLINOLENIC ACID, INDOMETHACIN, KETOPROFEN, KETOROLAC, LORNOXICAM, LUMIRACOXIB, MAGNESIUM SALICYLATE, MECLOFENAMIC ACID, MEFENAMIC ACID, MELOXICAM, NABUMETONE, NAPROXEN, NEPAFENAC, OXAPROZIN, PHENYLBUTAZONE, PIROXICAM, RESVERATROL, SALICYLIC ACID, SALSALATE, SULFASALAZINE, SUPROFEN, TENOXICAM, TIAPROFENIC ACID, TOLMETIN, TRISALICYLATE-CHOLINE
5743	ACETAMINOPHEN, ANTIPYRINE, ANTRAFENINE, BALSALAZIDE, BROMFENAC, CARPROFEN, CELECOXIB, DICLOFENAC, DIFLUNISAL, ETODOLAC, ETORICOXIB, FENOPROFEN, FLURBIPROFEN, GW-406381, IBUPROFEN, INDOMETHACIN, KETOPROFEN, KETOROLAC, LORNOXICAM, LUMIRACOXIB, MAGNESIUM SALICYLATE, MECLOFENAMIC ACID, MEFENAMIC ACID, MELOXICAM, NABUMETONE, NAPROXEN, NEPAFENAC, NIFLUMIC ACID, NIMESULIDE, OXAPROZIN, PHENYLBUTAZONE, PIROXICAM, POMALIDOMIDE, RESVERATROL, ROFECOXIB, SALICYLIC ACID, SALSALATE, SULFASALAZINE, SUPROFEN, TENOXICAM, TIAPROFENIC ACID, TOLMETIN, TRISALICYLATE-CHOLINE, VALDECOXIB
5753	VANDETANIB
5775	ALENDRONATE
5777	SODIUM STIBOGLUCONATE
5791	ALENDRONATE
5802	ALENDRONATE, ETIDRONIC ACID
5837	PSN357
5888	AMUVATINIB
5894	DABRAFENIB, REGORAFENIB, SORAFENIB, SORAFENIB TOSYLATE
5915	ISOTRETINOIN
5972	ALISKIREN, ALISKIREN FUMARATE, ENALKIREN, REMIKIREN
5979	AMUVATINIB, AT9283, CABOZANTINIB, IMATINIB, LENVATINIB, MOTESANIB, PONATINIB, REGORAFENIB, SORAFENIB, SORAFENIB TOSYLATE, SUNITINIB, SUNITINIB MALATE, VANDETANIB
6093	HYDROXYFASUDIL
6098	ASP3026, CRIZOTINIB
6197	AT9283
57521	SIROLIMUS, TEMSIROLIMUS
6240	CLADRIBINE, CLOFARABINE, FLUDARABINE, GEMCITABINE, HYDROXYUREA
6241	CLADRIBINE, GALLIUM NITRATE, TRIAPINE
50484	CLADRIBINE
1901	GILENIA
6336	BENZOCAINE, BUPIVACAINE, CHLOROPROCAINE, COCAINE, DYCLONINE, HEXYLCAINE, LEVOBUPIVACAINE, LIDOCAINE, MEPIVACAINE, ORPHENADRINE, OXYBUPROCAINE, PROCAINE, PROPARACAINE, ROPIVACAINE, TETRACAINE
11280	COCAINE, ZONISAMIDE
6323	DRONEDARONE, PERMETHRIN, PHENACEMIDE, PHENAZOPYRIDINE, PHENYTOIN, ZONISAMIDE
6324	ZONISAMIDE
6326	LAMOTRIGINE, PROPOFOL, ZONISAMIDE
6327	ZONISAMIDE
6328	ZONISAMIDE
55800	ZONISAMIDE
6329	DICLOFENAC, FLECAINIDE, PROPOFOL, ZONISAMIDE
6330	ZONISAMIDE
6331	AJMALINE, APRINDINE, CARBAMAZEPINE, COCAINE, DISOPYRAMIDE, ENCAINIDE, ETHOTOIN, FLECAINIDE, FOSPHENYTOIN, HEXYLCAINE, INDECAINIDE, LIDOCAINE, MEPHENYTOIN, MEXILETINE, MORICIZINE, OXCARBAZEPINE, PHENYTOIN, PRILOCAINE, PROCAINAMIDE, PROPAFENONE, QUINIDINE, QUINIDINE BARBITURATE, RANOLAZINE, RILUZOLE, TOCAINIDE, ZONISAMIDE
6335	LIDOCAINE, RANOLAZINE, ZONISAMIDE
6337	AMILORIDE, TRIAMTERENE
6338	AMILORIDE, TRIAMTERENE
6339	AMILORIDE, TRIAMTERENE
6340	AMILORIDE, TRIAMTERENE
6392	HEXACHLOROPHENE
6401	CARVEDILOL
6403	HEPARIN
5176	ADPEDR
6470	MIMOSINE
6476	ACARBOSE, SCOPOLAMINE
150094	DABRAFENIB
23411	PANOBINOSTAT
22933	PANOBINOSTAT
23410	PANOBINOSTAT
23409	PANOBINOSTAT
23408	PANOBINOSTAT, SURAMIN
51548	PANOBINOSTAT
51547	PANOBINOSTAT
6557	BUMETANIDE, CHLORTHALIDONE, ETHACRYNIC ACID, FUROSEMIDE, HYDROFLUMETHIAZIDE, METHYCLOTHIAZIDE, PIRETANIDE, QUINETHAZONE, TORASEMIDE, TRICHLORMETHIAZIDE
6558	BUMETANIDE, QUINETHAZONE
6559	BENDROFLUMETHIAZIDE, BENZTHIAZIDE, CHLOROTHIAZIDE, CHLOROTHIAZIDE SODIUM, CHLORTHALIDONE, CYCLOTHIAZIDE, HYDROCHLOROTHIAZIDE, HYDROFLUMETHIAZIDE, INDAPAMIDE, METHYCLOTHIAZIDE, METOLAZONE, POLYTHIAZIDE, QUINETHAZONE, TRICHLORMETHIAZIDE
6560	BUMETANIDE
57468	BUMETANIDE
6570	METHAMPHETAMINE, MMDA
6571	3, 4-METHYLENEDIOXYMETHAMPHETAMINE, 4-METHOXYAMPHETAMINE, AMPHETAMINE, DESERPIDINE, DEXTROAMPHETAMINE, DEXTROAMPHETAMINE SACCHARATE, EPHEDRINE, ISOMETHEPTENE, METHAMPHETAMINE, MMDA, RESCINNAMINE, RESERPINE, TETRABENAZINE
55867	PROBENECID
116085	SULFINPYRAZONE
9356	PROBENECID
9376	PROBENECID
2030	DIPYRIDAMOLE, TROGLITAZONE
6523	CANAGLIFLOZIN
6524	CANAGLIFLOZIN, DAPAGLIFLOZIN, EMPAGLIFLOZIN
6529	TIAGABINE, TIAGABINE HYDROCHLORIDE
6530	AMITRIPTYLINE, AMOXAPINE, BUPROPION, CLOMIPRAMINE, COCAINE, DESIPRAMINE, DESVENLAFAXINE, DEXMETHYLPHENIDATE, DIETHYLPROPION, DOXEPIN, DULOXETINE, ESCITALOPRAM, IMIPRAMINE, LEVOMILNACIPRAN, LEVONORDEFRIN, MAPROTILINE, MAZINDOL, METHYLPHENIDATE, MIANSERIN, MILNACIPRAN, NEFAZODONE, NORTRIPTYLINE, ORPHENADRINE, PAROXETINE, PHENMETRAZINE, PHENTERMINE, PROTRIPTYLINE, PSEUDOEPHEDRINE, REBOXETINE, SIBUTRAMINE, TAPENTADOL, TRAMADOL, TRIMIPRAMINE, VENLAFAXINE
6531	4-METHOXYAMPHETAMINE, ARMODAFINIL, BENZPHETAMINE, BUPROPION, BUPROPION HYDROBROMIDE, BUPROPION HYDROCHLORIDE, CHLOROPROCAINE, COCAINE, DEXMETHYLPHENIDATE, DEXMETHYLPHENIDATE HYDROCHLORIDE, DIETHYLPROPION, DIETHYLPROPION HYDROCHLORIDE, DIPHENYLPYRALINE, DULOXETINE, ESCITALOPRAM, FENCAMFAMINE, LISDEXAMFETAMINE, MAZINDOL, METHYLPHENIDATE, METHYLPHENIDATE HYDROCHLORIDE, MODAFINIL, NEFAZODONE, PHENMETRAZINE, PHENTERMINE, PROCAINE, PSEUDOEPHEDRINE, SERTRALINE, SIBUTRAMINE, TRIMIPRAMINE, VENLAFAXINE
6532	4-METHOXYAMPHETAMINE, AMITRIPTYLINE, AMOXAPINE, BUTRIPTYLINE, CITALOPRAM, CLOMIPRAMINE, COCAINE, DESIPRAMINE, DESVENLAFAXINE, DEXMETHYLPHENIDATE, DEXTROMETHORPHAN, DOXEPIN, DULOXETINE, ESCITALOPRAM, FENFLURAMINE, FLUOXETINE, FLUVOXAMINE, IMIPRAMINE, LEVOMILNACIPRAN, LY367265, MAZINDOL, METHYLPHENIDATE, MIANSERIN, MILNACIPRAN, MINAPRINE, NEFAZODONE, NORTRIPTYLINE, PAROXETINE, PHENTERMINE, PROTRIPTYLINE, PSEUDOEPHEDRINE, SERTRALINE, SIBUTRAMINE, TAPENTADOL, TRAMADOL, TRAZODONE, TRIMIPRAMINE, VENLAFAXINE, VILAZODONE, YM-992
23657	SULFASALAZINE
6548	AMILORIDE
11309	ERGOLOID MESYLATE
6608	BMS-833923, VISMODEGIB
6609	DESIPRAMINE
6616	BOTULINUM TOXIN TYPE A
6646	EZETIMIBE, HESPERETIN
8435	HESPERETIN
6713	BUTENAFINE, ELLAGIC ACID, NAFTIFINE, TERBINAFINE
6714	BOSUTINIB, DASATINIB, KX2-391, NINTEDANIB, PONATINIB, SARACATINIB, VANDETANIB
6715	DUTASTERIDE, FINASTERIDE, LEVONORGESTREL
6716	AZELAIC ACID, DUTASTERIDE, FINASTERIDE
6774	ATIPRIMOD, RTA 402
6777	DASATINIB
6783	CYCLIZINE
9900	BRIVARACETAM
6850	ELLAGIC ACID
6916	DAZOXIBEN, RIDOGREL
7010	PONATINIB, REGORAFENIB, VANDETANIB
7054	METYROSINE
7099	NALOXONE
7124	AMRINONE, IP-751, LENALIDOMIDE, PIRFENIDONE, POMALIDOMIDE, RDP-58, THALIDOMIDE
8600	LENALIDOMIDE
7150	IRINOTECAN, LUCANTHONE, TOPOTECAN
116447	IRINOTECAN, TOPOTECAN, TOPOTECAN HYDROCHLORIDE
7153	AMSACRINE, CIPROFLOXACIN, DAUNORUBICIN, DAUNORUBICIN CITRATE, DAUNORUBICIN HYDROCHLORIDE, DEXRAZOXANE, DOXORUBICIN, DOXORUBICIN HYDROCHLORIDE, ENOXACIN, EPIRUBICIN, ETOPOSIDE PHOSPHATE, FINAFLOXACIN, FLEROXACIN, IDARUBICIN, IDARUBICIN HYDROCHLORIDE, LEVOFLOXACIN, LOMEFLOXACIN, LUCANTHONE, MITOXANTRONE, MITOXANTRONE HYDROCHLORIDE, NORFLOXACIN, OFLOXACIN, PEFLOXACIN, SPARFLOXACIN, TENIPOSIDE, TROVAFLOXACIN, VALRUBICIN
7155	CINOXACIN, DAUNORUBICIN, DHAQ DIACETATE, GARENOXACIN, GATIFLOXACIN, LEVOFLOXACIN, LOMEFLOXACIN, MITOXANTRONE, NALIDIXIC ACID, NORFLOXACIN, OFLOXACIN, PEFLOXACIN, QUINOLONES, ROSOXACIN, SALVICINE, SNS-595, TROVAFLOXACIN, VALRUBICIN
7172	OLSALAZINE
7173	CARBIMAZOLE, METHIMAZOLE, PROPYLTHIOURACIL
7846	ALBENDAZOLE, MEBENDAZOLE
7277	VINCRISTINE
203068	COLCHICINE, VINCRISTINE, VINORELBINE
81027	COLCHICINE, PACLITAXEL, VINDESINE
10381	IXABEPILONE
7297	AT9283
7298	CAPECITABINE, FLOXURIDINE, GEMCITABINE, LEUCOVORIN, PEMETREXED, PEMETREXED DISODIUM, RALTITREXED, TRIFLURIDINE, TRIMETHOPRIM
7299	AVOBENZONE, AZELAIC ACID, MIMOSINE, MONOBENZONE
9039	MLN4924
7357	ELIGLUSTAT TARTRATE, MIGLUSTAT
7412	CARVEDILOL
7416	DIHYDROXYALUMINIUM
7417	DIHYDROXYALUMINIUM
7419	DIHYDROXYALUMINIUM
7422	BEVACIZUMAB+RITUXIMAB, MINOCYCLINE, SU5416, TAK-593, VANDETANIB
79001	ACENOCOUMAROL, DICUMAROL, PHENINDIONE, PHENPROCOUMON, WARFARIN, WARFARIN SODIUM
7453	L-TRYPTOPHAN
10352	L-TRYPTOPHAN
7465	MK-1775
7498	ALLOPURINOL, ALLOPURINOL SODIUM, ENILURACIL, FEBUXOSTAT
7525	AT9283, DASATINIB
22882	REGORAFENIB, SORAFENIB
